index,選挙区名,議員氏名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,home_page_url,生年月日,性別,任期満了,読み方,会派,当選回数,＜正字＞,
125,中国,平林 晃,@hb_hirabayashi,平林晃,1599,532,@user-sp3ln1ps8h,平林晃チャンネル,204,0,https://akirahirabayashi.jp/,1971年2月2日,1,,ひらばやし あきら,公明,1,,
126,北関東,福重 隆浩,@komeifukushige,【公明党】福重隆浩,1586,456,,,,,https://takahiro-fukushige.jp/,1962年5月3日,1,,ふくしげ たかひろ,公明,1,,
127,北関東,藤岡 隆雄,@FujiokaTakao,藤岡たかお🍓衆議院議員(栃木県第4区で活動、立憲民主党),3606,2394,@FujiokaTakao,藤岡たかおチャンネル,521,126,https://fujioka-takao.jp/,1977年3月28日,1,,ふじおか たかお,立憲,1,,
128,南関東,藤巻 健太,@Kenta_Fujimaki,藤巻健太　衆議院議員,2177,96,,,,,https://fujimaki-kenta.com/,1983年10月7日,1,,ふじまき けんた,維新,1,,
129,九州,古川 康,@furukawa_yasu,古川 康【公式】,1072,232,@besidetv4940,あなたのそばで 政治にまっすぐ 衆議院議員 古川 康の Beside TV,467,96,https://www.power-full.com/index.html,1958年7月15日,1,,ふるかわ やすし,自民,3,,
130,南関東,古屋 範子,@Noriko_Furuya,古屋 範子,15200,1760,,,,,https://furuya-noriko.com/,1956年5月14日,2,,ふるや のりこ,公明,7,,
131,南関東,星野 剛士,@hossys,衆議院議員 星野つよし,6269,4578,@hosinovideo,ホシノビデオ,202,323,https://t-stars.com/,1963年8月8日,1,,ほしの つよし,自民,4,,
132,近畿,掘井 健智,@horiken_seiji,ほりいけんじ| 衆議院議員 | 日本維新の会,648,180,@user-bz2xp1yc8e,ほりけんのチャンネル,97,4,https://horiikenji.jp/,1967年1月10日,1,,ほりい けんじ,維新,1,,
133,北海道,堀井 学,@horiimanabu,堀井学＠胆振•日高は４市14町🐎 内閣府副大臣｜二頭流で活動中✨,1764,602,@user-gp5ed4sq9o,堀井学【衆議院議員】二頭流チャンネル,369,53,https://horiimanabu.jp/,1972年2月19日,1,,ほりい まなぶ,自民,4,,
134,近畿,堀場 幸子,@SachikoHoriba,堀場さち子（日本維新の会 衆議院議員・京都維新の会 代表),3088,629,,,,,https://horibasachiko.com/,1979年3月24日,2,,ほりば さちこ,維新,1,,
135,東海,牧 義夫,@yoshiomaki758,牧義夫（愛知4区）,3248,1989,@user-xr1hf7eo3q,牧義夫,98,32,https://makiyoshio.jp/,1958年1月14日,1,,まき よしお,立憲,7,,
136,北関東,牧原 秀樹,@hmakihara,牧原秀樹 まきはらひでき 衆議院議員　自民党　埼玉5区,16300,3799,@mackystudio,まきはらひでき チャンネル 衆議院議員 牧原秀樹 さいたま市在住,2380,112,https://hmacky.net/,1971年6月4日,1,,まきはら ひでき,自民,5,,
137,東京,松本 洋平,@matsumoto_yohei,松本洋平,5077,67,@user-dh9kx5mn1s,衆議院議員 松本洋平,10,7,https://matsumoto-yohei.com/,1973年8月31日,1,,まつもと ようへい,自民,5,,
138,近畿,三木 圭恵,@keemiki,三木けえ　衆議院議員　兵庫県第7選挙区（西宮市・芦屋市）,4390,2039,@channel-jw5ih,【公式】三木けえの伝えたいchannel,154,14,https://www.mikikee.jp/,1966年7月7日,2,,みき けえ,維新,2,,
139,東海,岬 麻紀,@misakimaki_i,岬まき⭐️衆議院議員 日本維新の会 愛知新5区（名古屋市中村区•中川区、清須市）,1602,236,@misakimaki,まきチャンネル,40,38,https://misakimaki.com/,1968年12月26日,2,,みさき まき,維新,1,,
140,南関東,三谷 英弘,@mitani_h,みたに英弘（衆議院議員／神奈川8区）,14000,3280,@mitani-h,みたに英弘（衆議院議員　神奈川８区）,293,48,https://mitani-h.net/,1976年6月28日,1,,みたに ひでひろ,自民,3,,
141,九州,宮崎 政久,@Miyazaki_kirin,宮崎政久（みやざきまさひさ）@沖縄2区,5900,699,@user-mw8kz1jw9r,ミヤザキ政久後援会@沖縄県第2選挙区 2023,62,39,https://www.miyazakirin.com/,1965年8月8日,1,,みやざき まさひさ,自民,4,,
142,東海,宮澤 博行,,,,,@miyazawahiroyukiTV,宮沢ひろゆき TV,74,31,https://miyazawa-hiroyuki.jp/,1975年1月10日,1,,みやざわ ひろゆき,自民,4,,
143,近畿,宮本 岳志,@ohsakamiyamoto,宮本たけし（日本共産党）@大阪5区,21900,540,@user-uz3to5xh7w,宮本たけし 大阪5区チャンネル,480,110,http://miyamoto-net.net/,1959年12月25日,1,,みやもと たけし,共産,0,,
144,東京,宮本 徹,@miyamototooru,宮本徹,61600,187,@user-zc9kj1zd2l,宮本徹事務所,518,106,https://miyamototooru.info/,1972年1月22日,1,,みやもと とおる,共産,3,,
145,北陸信越,務台 俊介,"@mutaishunsuke
",務台俊介（むたい　しゅんすけ）,6702,5305,@mutaishunsuke,むたい俊介　　衆議院議員　務台俊介,1590,176,https://www.mutai-shunsuke.jp/,1956年7月3日,1,,むたい しゅんすけ,自民,4,,
146,近畿,宗清 皇一,@MunekiyoOffice,宗清皇一事務所,2027,213,@user-vv6ey1zu6d,宗清皇一,141,26,https://kouichi-munekiyo.com/,1970年8月9日,1,,むねきよ こういち,自民,3,,
147,東海,本村 伸子,@motomura_nobuko,もとむら伸子(本村伸子）,22800,6079,@MotomuraNobuko,伸子もとむら,232,51,https://motomura-nobuko.jp/,1972年10月20日,2,,もとむら のぶこ,共産,3,,
148,近畿,森山 浩行,@MORIYAMAhiro,森山浩行@衆議院議員 #立憲民主党 #大阪16区 #堺　#元気モリモリ,5547,1661,@user-xz7ni7hc5e,森山ひろゆきの「元気モリモリ！！！」チャンネル,141,43,https://moriyama.club/,1971年4月8日,1,,もりやま ひろゆき,立憲,3,,
149,近畿,盛山 正仁,@moriyama_kobe,盛山正仁,567,118,@user-zy5jt7iv4x,盛山正仁,30,25,https://www.moriyama-hashiru.jp/,1953年12月14日,1,,もりやま まさひと,自民,5,,
150,九州,保岡 宏武,@yasuokahirotake,やすおか宏武/衆議院議員/自民党鹿児島2区(鹿児島市南部、南薩、奄美),1375,765,@user-by5mk4wv2s,やすおか宏武,74,20,https://www.yasuoka.info/,1973年5月6日,1,,やすおか ひろたけ,自民,1,,
151,南関東,谷田川 元,@yatagawahajime,衆議院議員谷田川元(谷田川はじめ)千葉10区(銚子市、成田市、旭市、匝瑳市、香取市、香取郡他),769,300,@yatagawahajime,谷田川はじめ,316,212,https://www.hajime-yatagawa.com/,1963年1月17日,1,,やたがわ はじめ,立憲,3,,
152,近畿,柳本 顕,@yanagimotoakira,柳本 あきら【自民党・衆議院議員】,13100,5272,@yanagimotoakira,柳本あきらチャンネル,1550,254,https://www.yanagimotoakira.com/,1974年1月29日,1,,やなぎもと あきら,自民,1,,
153,南関東,山崎 誠,@yamazakimakoto,山崎誠 立憲民主党 神奈川5区（戸塚区・泉区）,6229,1187,@user-go7ws8tl6b,山崎誠チャンネル,96,53,https://yamazakimakoto.jp/,1962年11月22日,1,,やまざき まこと,立憲,3,,
154,四国,山崎 正恭,@masayasu211bob,公明党 衆議院議員　山崎まさやす,938,343,,,,,https://www.komei.or.jp/km/kochi-yamasaki-masayasu/profile/,1971年3月5日,1,,やまさき まさやす,公明,1,,
155,九州,山田 勝彦,@yamabiko719,山田勝彦 衆議院議員 立憲民主党長崎2区,2658,1232,@user-vb9jv1pk4y,山田カッチャンネル,490,71,https://www.yamada-katsuhiko.com/,1979年7月19日,1,,やまだ かつひこ,立憲,1,,
156,九州,山本 剛正,@otokogosay87,山本ごうせい,674,157,@gosay5939,GO!SAY!!ちゃん!!!,68,101,https://www.yamamotogosay.com/,1972年1月1日,1,,やまもと ごうせい,維新,2,,
157,東海,山本 左近,@SakonYamamoto,山本 左近,45100,316,@user-cj3ex7ez4c,自民党山本左近,103,7,https://sakonyamamoto.com/wp/,1982年7月9日,1,,やまもと さこん,自民,1,,
158,南関東,山本ともひろ,@ty_polepole,山本ともひろ℗,25100,245,,,,,https://yamamoto-tomohiro.com/,1975年6月20日,1,,やまもと ともひろ,自民,5,,
159,四国,山本 有二,@yamamotoyuji,山本有二,835,14,,,,,https://yamamotoyuji.jp/,1952年5月11日,1,,やまもと ゆうじ,自民,11,,
160,中国,柚木 道義,@yunoki_m,柚木みちよし,18700,6309,@TheYuzuChannel,TheYuzuChannel,202,463,https://www.yuzu.jp/,1972年5月28日,1,,ゆのき みちよし,立憲,6,,
161,中国,湯原 俊二,@knSKyYgHfPJlMSB,湯原俊二・立憲民主党鳥取2区,952,12,,,,,https://www.yuhara.net/,1962年11月20日,1,,ゆはら しゅんじ,立憲,2,,
162,南関東,義家 弘介,@yoshiiehiroyuki,義家弘介（よしいえひろゆき）,15500,9435,@user-bz4pv6bj6v,義家チャンネル,68,4,https://www.yoshiie-hiroyuki.com/,1971年3月31日,1,,よしいえ ひろゆき,自民,4,,
163,東海,吉川 赳,,,,,,,,,,1982年4月7日,1,,よしかわ たける,無,3,,パパ活　辞職？
164,九州,吉川 元,@YoshikawaHajime,吉川はじめ,2460,422,,,,,https://www.yoshikawa-hajime.com/,1966年9月28日,1,,よしかわ はじめ,立憲,4,,
165,九州,吉田 久美子,,,,,,,,,https://yoshida-kumiko.jp/,1963年7月19日,2,,よしだ くみこ,公明,1,,
166,東海,吉田 統彦,@yoshitune1aichi,吉田つねひこ 愛知1区 医師 衆議院議員 立憲民主党 日本を治す🏥,2843,1955,@user-rb4kq2rf8v,吉田つねひこチャンネル【医師・衆議院議員 吉田統彦】,198,70,https://www.yoshitsune-kai.jp/,1974年11月14日,1,,よしだ つねひこ,立憲,3,,
167,四国,吉田 とも代,@yoshida223tomo,吉田とも代｜日本維新の会,3474,336,@yoshidatomoyo,吉田とも代チャンネル【公式】,95,184,https://www.yoshidatomoyo.com/,1975年2月23日,1,,よしだ ともよ,維新,1,,
168,北陸信越,吉田 豊史,@toyo23office,吉田豊史（衆議院議員　富山1区・北陸信越ブロック比例）,919,398,@toyo23_fumilog,フミログ,306,158,https://toyo23.net/,1970年4月10日,1,,よしだ とよふみ,無,2,,
169,九州,吉田 宣弘,,,,,,,,,https://www.yoshida-nobuhiro.jp/,1967年12月8日,1,,よしだ のぶひろ,公明,3,,
170,東京,若宮 健嗣,@wakamiya7788,若宮健嗣（わかみや　けんじ）,4515,727,@user-wf3yr3wq3k,若宮けんじ,122,13,https://k-wakamiya.com/,1961年9月2日,1,,わかみや けんじ,自民,5,,
171,北陸信越,鷲尾 英一郎,@washioeiichirou,わしお英一郎【新・新潟４区(長岡市、柏崎市、見附市、小千谷市、刈羽村、出雲崎町)】,3184,163,@user-ze8bx4be4w,わしお英一郎チャンネル,758,65,https://washio-e.jp/,1977年1月3日,1,,わしお えいいちろう,自民,6,,
172,近畿,和田 有一朗,@wada_jimusho,和田有一朗,489,0,,,,,https://wada-yuuichiro.com/,1964年10月23日,1,,わだ ゆういちろう,維新,1,,
173,北海道,渡辺 孝一,,,,,,,,,https://watanabekoichi.jp/,1957年11月25日,1,,わたなべ こういち,自民,4,,
174,東海,渡辺 周,@shuwatanabe2021,わたなべ周 （衆議院議員 静岡６区）@応援アカウント,87,41,,,,,https://watanabeshu.org/,1961年12月11日,1,,わたなべ しゅう,立憲,9,,
175,近畿,鰐淵 洋子,@WanibuchiYoko,鰐淵 洋子,7739,342,,,,,,1972年4月10日,2,,わにぶち ようこ,公明,2,,
